<number of tasks>
148
<number of stations>
13
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
1 1 1000 92 54 95 71
1 2 32 1000 1000 1000 1000
1 3 199 1000 1000 1000 1000
1 4 1000 64 49 20 19
1 5 32 1000 1000 1000 1000
1 6 0 1000 1000 1000 1000
1 7 49 1000 1000 1000 1000
1 8 1000 86 21 38 17
1 9 138 1000 1000 1000 1000
1 10 1000 33 100 127 74
1 11 30 1000 1000 1000 1000
1 12 0 1000 1000 1000 1000
1 13 64 1000 1000 1000 1000
1 14 1000 30 67 76 39
1 15 1000 42 51 62 56
1 16 26 1000 1000 1000 1000
1 17 1000 17 36 98 90
1 18 100 1000 1000 1000 1000
1 19 43 1000 1000 1000 1000
1 20 1000 28 156 50 35
1 21 34 1000 1000 1000 1000
1 22 45 1000 1000 1000 1000
1 23 22 1000 1000 1000 1000
1 24 19 1000 1000 1000 1000
1 25 1000 34 44 40 29
1 26 140 1000 1000 1000 1000
1 27 65 1000 1000 1000 1000
1 28 82 1000 1000 1000 1000
1 29 1000 62 88 68 79
1 30 77 1000 1000 1000 1000
1 31 48 1000 1000 1000 1000
1 32 1000 60 48 198 97
1 33 44 1000 1000 1000 1000
1 34 1000 99 64 37 84
1 35 53 1000 1000 1000 1000
1 36 68 1000 1000 1000 1000
1 37 1000 160 37 49 82
1 38 82 1000 1000 1000 1000
1 39 45 1000 1000 1000 1000
1 40 21 1000 1000 1000 1000
1 41 1000 39 62 192 169
1 42 81 1000 1000 1000 1000
1 43 1000 50 57 63 82
1 44 37 1000 1000 1000 1000
1 45 64 1000 1000 1000 1000
1 46 162 1000 1000 1000 1000
1 47 1000 33 36 68 76
1 48 1000 29 36 29 55
1 49 73 1000 1000 1000 1000
1 50 145 1000 1000 1000 1000
1 51 1000 66 42 41 59
1 52 1000 29 19 68 94
1 53 25 1000 1000 1000 1000
1 54 1000 39 41 74 72
1 55 68 1000 1000 1000 1000
1 56 24 1000 1000 1000 1000
1 57 0 1000 1000 1000 1000
1 58 1000 46 33 54 50
1 59 199 1000 1000 1000 1000
1 60 111 1000 1000 1000 1000
1 61 1000 34 50 31 54
1 62 194 1000 1000 1000 1000
1 63 1000 89 86 64 27
1 64 38 1000 1000 1000 1000
1 65 72 1000 1000 1000 1000
1 66 45 1000 1000 1000 1000
1 67 1000 33 92 80 91
1 68 90 1000 1000 1000 1000
1 69 177 1000 1000 1000 1000
1 70 29 1000 1000 1000 1000
1 71 1000 33 95 33 75
1 72 66 1000 1000 1000 1000
1 73 1000 85 69 73 45
1 74 47 1000 1000 1000 1000
1 75 1000 21 94 62 24
1 76 18 1000 1000 1000 1000
1 77 51 1000 1000 1000 1000
1 78 1000 112 79 33 84
1 79 70 1000 1000 1000 1000
1 80 152 1000 1000 1000 1000
1 81 1000 48 71 181 44
1 82 100 1000 1000 1000 1000
1 83 1000 60 71 102 31
1 84 18 1000 1000 1000 1000
1 85 31 1000 1000 1000 1000
1 86 1000 36 35 91 31
1 87 90 1000 1000 1000 1000
1 88 13 1000 1000 1000 1000
1 89 79 1000 1000 1000 1000
1 90 1000 97 33 58 80
1 91 1000 53 118 25 47
1 92 46 1000 1000 1000 1000
1 93 1000 42 69 67 53
1 94 26 1000 1000 1000 1000
1 95 94 1000 1000 1000 1000
1 96 1000 40 167 31 39
1 97 1000 43 43 43 43
1 98 0 1000 1000 1000 1000
1 99 1000 79 27 80 195
1 100 28 1000 1000 1000 1000
1 101 25 1000 1000 1000 1000
1 102 1000 52 46 179 133
1 103 1000 45 49 26 30
1 104 154 1000 1000 1000 1000
1 105 0 1000 1000 1000 1000
1 106 1000 124 69 19 24
1 107 35 1000 1000 1000 1000
1 108 1000 58 87 31 99
1 109 1000 31 80 53 164
1 110 142 1000 1000 1000 1000
1 111 39 1000 1000 1000 1000
1 112 64 1000 1000 1000 1000
1 113 1000 26 27 34 52
1 114 58 1000 1000 1000 1000
1 115 56 1000 1000 1000 1000
1 116 1000 18 50 161 44
1 117 34 34 34 34 34
1 118 82 1000 1000 1000 1000
1 119 1000 121 80 53 83
1 120 96 1000 1000 1000 1000
1 121 1000 66 32 42 92
1 122 22 1000 1000 1000 1000
1 123 197 1000 1000 1000 1000
1 124 1000 18 157 126 112
1 125 36 1000 1000 1000 1000
1 126 1000 26 41 66 191
1 127 65 1000 1000 1000 1000
1 128 1000 33 55 38 29
1 129 1000 64 30 36 42
1 130 172 1000 1000 1000 1000
1 131 1000 125 44 45 67
1 132 32 1000 1000 1000 1000
1 133 83 1000 1000 1000 1000
1 134 1000 37 37 74 43
1 135 186 1000 1000 1000 1000
1 136 1000 72 127 73 136
1 137 55 1000 1000 1000 1000
1 138 0 1000 1000 1000 1000
1 139 24 1000 1000 1000 1000
1 140 35 1000 1000 1000 1000
1 141 1000 43 95 47 53
1 142 174 1000 1000 1000 1000
1 143 28 1000 1000 1000 1000
1 144 1000 52 84 163 88
1 145 91 1000 1000 1000 1000
1 146 13 1000 1000 1000 1000
1 147 1000 47 134 90 29
1 148 68 1000 1000 1000 1000
2 1 53 58 30 192 44
2 2 47 1000 1000 1000 1000
2 3 52 1000 1000 1000 1000
2 4 1000 110 96 27 83
2 5 83 1000 1000 1000 1000
2 6 71 1000 1000 1000 1000
2 7 29 1000 1000 1000 1000
2 8 1000 45 33 34 40
2 9 71 1000 1000 1000 1000
2 10 1000 32 28 168 31
2 11 138 1000 1000 1000 1000
2 12 142 1000 1000 1000 1000
2 13 53 1000 1000 1000 1000
2 14 1000 72 90 59 70
2 15 1000 68 78 60 49
2 16 27 1000 1000 1000 1000
2 17 1000 50 60 27 52
2 18 45 1000 1000 1000 1000
2 19 49 1000 1000 1000 1000
2 20 1000 101 149 87 30
2 21 128 1000 1000 1000 1000
2 22 0 1000 1000 1000 1000
2 23 21 1000 1000 1000 1000
2 24 55 1000 1000 1000 1000
2 25 1000 36 33 199 24
2 26 179 1000 1000 1000 1000
2 27 0 1000 1000 1000 1000
2 28 92 1000 1000 1000 1000
2 29 1000 59 59 79 56
2 30 0 1000 1000 1000 1000
2 31 62 1000 1000 1000 1000
2 32 1000 96 52 46 30
2 33 113 1000 1000 1000 1000
